X,Y,numero,ele,name,status,tipo,sp
-4.06453102827072,40.859576035291,103.000000000000000,1347.203003000000081,S103,Sanos,tree,Pinus sylvestris
-4.06436196528375,40.8596799708903,104.000000000000000,1346.512817000000041,S104,Sanos,tree,Pinus sylvestris
-4.06444796361029,40.8596689905971,105.000000000000000,1344.914672999999993,S105,Sanos,tree,Pinus sylvestris
-4.06434603966773,40.8597379736602,107.000000000000000,1347.387938999999960,S107,Sanos,tree,Pinus sylvestris
-4.06468802131712,40.8597460202873,165.000000000000000,1343.002563000000009,S165,Sanos,tree,Pinus sylvestris
-4.06481098383665,40.8598720002919,208.000000000000000,1337.961913999999979,S208,Sanos,tree,Pinus sylvestris
-4.06473303213716,40.8599040191621,211.000000000000000,1337.996216000000004,S211,Sanos,tree,Pinus sylvestris
-4.06459799967706,40.8595570083708,96.000000000000000,1348.010132000000112,S96,Sanos,tree,Pinus sylvestris
